market_id,question,end_date,prob_market,prob_model,edge,kelly_fraction,direction,spread,liquidity,source
550694,Will Italy qualify for the 2026 FIFA World Cup?,2026-04-12 00:00:00+00:00,0.83,0.0462,-0.7838,0.0,BUY NO,0.02,2429.7317,calibration_model
540817,New Rihanna Album before GTA VI?,2026-07-31 12:00:00+00:00,0.625,0.0292,-0.5958,0.0,BUY NO,0.01,34611.5142,calibration_model
540818,New Playboi Carti Album before GTA VI?,2026-07-31 12:00:00+00:00,0.585,0.0302,-0.5548,0.0,BUY NO,0.03,26998.7645,calibration_model
540816,Russia-Ukraine Ceasefire before GTA VI?,2026-07-31 12:00:00+00:00,0.545,0.0292,-0.5158,0.0,BUY NO,0.01,41800.0443,calibration_model
540820,Trump out as President before GTA VI?,2026-07-31 12:00:00+00:00,0.53,0.0276,-0.5024,0.0,BUY NO,0.02,42581.5928,calibration_model
540843,Will China invades Taiwan before GTA VI?,2026-07-31 12:00:00+00:00,0.515,0.0271,-0.4879,0.0,BUY NO,0.01,70582.1309,calibration_model
540844,Will bitcoin hit $1m before GTA VI?,2026-07-31 12:00:00+00:00,0.4885,0.0223,-0.4662,0.0,BUY NO,0.003,408110.70702,calibration_model
540819,Will Jesus Christ return before GTA VI?,2026-07-31 12:00:00+00:00,0.485,0.022,-0.463,0.0,BUY NO,0.01,695847.9295,calibration_model
556108,Will MegaETH perform an airdrop by June 30? ,2026-02-01 05:00:00+00:00,0.4565,0.0351,-0.4214,0.0,BUY NO,0.023,9939.77002,calibration_model
550706,Will Poland qualify for the 2026 FIFA World Cup?,2026-04-12 00:00:00+00:00,0.425,0.0421,-0.3829,0.0,BUY NO,0.01,2113.438,calibration_model
560317,"Putin out as President of Russia by December 31, 2026?",2026-12-31 18:30:00+00:00,0.115,0.0275,-0.0875,0.0,BUY NO,0.01,317849.2634,calibration_model
563650,"SCOTUS accepts sports event contract case by July 31, 2026?     ",2026-07-31 00:00:00+00:00,0.125,0.0432,-0.0818,0.0,BUY NO,0.01,6999.5105,calibration_model
556062,MegaETH market cap (FDV) >$2B one day after launch?,2025-12-31 00:00:00+00:00,0.105,0.0338,-0.0712,0.0,BUY NO,0.01,97993.6693,calibration_model
