date,question,direction,prob_market,edge,kelly,position_size,outcome,won,pnl,bankroll
2024-05-07 12:00:00+00:00,Boston Celtics vs. Cleveland Cavaliers: Game 1,BUY YES,0.5,0.151,0.1,50.0,1,1,50.0,10050.0
2024-05-07 12:00:00+00:00,Will PSG win?,BUY NO,0.5,-0.2155,0.1,50.0,0,1,50.0,10100.0
2024-05-07 12:00:00+00:00,Will PSG and Borussia Dortmund Draw?,BUY NO,0.5,-0.1588,0.1,50.0,0,1,50.0,10150.0
2024-05-07 12:00:00+00:00,Will Borussia Dortmund win?,BUY NO,0.5,-0.1116,0.1,50.0,1,0,-50.0,10100.0
2024-05-07 12:00:00+00:00,Oklahoma City Thunder vs. Dallas Mavericks: Game 1,BUY YES,0.5,0.1097,0.1,50.0,1,1,50.0,10150.0
2024-05-08 00:00:00+00:00,Will Finland win Eurovision 2024?,BUY NO,0.5,-0.0807,0.0807,50.0,0,1,50.0,10200.0
2024-05-08 00:00:00+00:00,Will Georgia win Eurovision 2024?,BUY NO,0.5,-0.1016,0.1,50.0,0,1,50.0,10250.0
2024-05-08 00:00:00+00:00,Will Austria win Eurovision 2024?,BUY NO,0.5,-0.108,0.1,50.0,0,1,50.0,10300.0
2024-05-08 00:00:00+00:00,Will Armenia win Eurovision 2024?,BUY NO,0.5,-0.125,0.1,50.0,0,1,50.0,10350.0
2024-05-08 00:00:00+00:00,Will Spain win Eurovision 2024?,BUY NO,0.5,-0.1222,0.1,50.0,0,1,50.0,10400.0
2024-05-08 00:00:00+00:00,Will Poland win Eurovision 2024?,BUY NO,0.5,-0.0918,0.0918,50.0,0,1,50.0,10450.0
2024-05-08 00:00:00+00:00,Will another country win Eurovision 2024?,BUY YES,0.5,0.1666,0.1,50.0,0,0,-50.0,10400.0
2024-05-08 00:00:00+00:00,Will Switzerland win Eurovision 2024?,BUY YES,0.5,0.172,0.1,50.0,1,1,50.0,10450.0
2024-05-08 00:00:00+00:00,Will Iceland win Eurovision 2024?,BUY YES,0.5,0.1417,0.1,50.0,0,0,-50.0,10400.0
2024-05-08 00:00:00+00:00,Will Norway win Eurovision 2024?,BUY NO,0.5,-0.1105,0.1,50.0,0,1,50.0,10450.0
2024-05-08 00:00:00+00:00,Will Sweden win Eurovision 2024?,BUY NO,0.5,-0.1025,0.1,50.0,0,1,50.0,10500.0
2024-05-08 00:00:00+00:00,Will Israel win Eurovision 2024?,BUY YES,0.5,0.2121,0.1,50.0,0,0,-50.0,10450.0
2024-05-08 00:00:00+00:00,Will Croatia win Eurovision 2024?,BUY YES,0.5,0.1706,0.1,50.0,0,0,-50.0,10400.0
2024-05-08 12:00:00+00:00,Will Jersey Jerry complete the marathon? ,BUY YES,0.5,0.1197,0.1,50.0,1,1,50.0,10450.0
2024-05-08 12:00:00+00:00,North Macedonia Presidential Election Winner,BUY NO,0.5,-0.1378,0.1,50.0,1,0,-50.0,10400.0
2024-05-08 12:00:00+00:00,Kendrick drops new track by Wednesday?,BUY YES,0.5,0.0732,0.0732,50.0,0,0,-50.0,10350.0
2024-05-08 12:00:00+00:00,Will Real Madrid win against Bayern Munich,BUY NO,0.5,-0.0921,0.0921,50.0,1,0,-50.0,10300.0
2024-05-08 12:00:00+00:00,Will Real Madrid vs. Bayern Munich end in a draw?,BUY NO,0.5,-0.0747,0.0747,50.0,0,1,50.0,10350.0
2024-05-08 12:00:00+00:00,Will Bayern Munich win against Real Madrid?,BUY NO,0.5,-0.2099,0.1,50.0,0,1,50.0,10400.0
2024-05-09 12:00:00+00:00, Oklahoma City Thunder vs. Dallas Mavericks: Game 2,BUY NO,0.5,-0.0807,0.0807,50.0,0,1,50.0,10450.0
2024-05-09 12:00:00+00:00,NBA: Boston Celtics vs. Cleveland Cavaliers: Game 2,BUY NO,0.5,-0.1608,0.1,50.0,0,1,50.0,10500.0
2024-05-09 12:00:00+00:00,Drake arrested by Friday? ,BUY NO,0.5,-0.1834,0.1,50.0,0,1,50.0,10550.0
2024-05-10 12:00:00+00:00,Will Elon tweet 135-149 times?,BUY NO,0.5,-0.13,0.1,500.0,0,1,500.0,11050.0
2024-05-10 12:00:00+00:00,$FRIEND major exchange listing by May 10?,BUY NO,0.5,-0.2582,0.1,50.0,1,0,-50.0,11000.0
2024-05-10 12:00:00+00:00,Will Elon tweet 60-74 times?,BUY NO,0.5,-0.1308,0.1,50.0,0,1,50.0,11050.0
2024-05-10 12:00:00+00:00,Indiana Pacers vs. New York Knicks: Game 3,BUY YES,0.5,0.2068,0.1,50.0,1,1,50.0,11100.0
2024-05-10 12:00:00+00:00,Minnesota Timberwolves vs. Denver Nuggets: Game 3,BUY YES,0.5,0.1097,0.1,50.0,0,0,-50.0,11050.0
2024-05-10 12:00:00+00:00,"Will Andrew Tate post ""retard"" tomorrow? ",BUY NO,0.5,-0.2487,0.1,50.0,0,1,50.0,11100.0
2024-05-10 12:00:00+00:00,Will Elon tweet less than 60 times?,BUY NO,0.5,-0.0784,0.0784,50.0,0,1,50.0,11150.0
2024-05-10 12:00:00+00:00,Will Elon tweet 75-89 times?,BUY NO,0.5,-0.0963,0.0963,50.0,0,1,50.0,11200.0
2024-05-10 12:00:00+00:00,Will OG Anunoby return for Game 3 vs. Pacers?,BUY NO,0.5,-0.1934,0.1,50.0,0,1,50.0,11250.0
2024-05-10 12:00:00+00:00,Will Columbia be the next university to cancel commencement?,BUY NO,0.5,-0.074,0.074,50.0,1,0,-50.0,11200.0
2024-05-10 12:00:00+00:00,Will Nick Fuentes post on X by May 10?,BUY NO,0.5,-0.0748,0.0748,50.0,1,0,-50.0,11150.0
