market_id,question,end_date,prob_market,prob_model,edge,kelly_fraction,direction,spread,liquidity,source
540819,Will Jesus Christ return before GTA VI?,2026-07-31 12:00:00+00:00,0.485,0.0914,-0.3936,0.4058,BUY NO,0.01,824685.948,calibration_model
540844,Will bitcoin hit $1m before GTA VI?,2026-07-31 12:00:00+00:00,0.4875,0.1036,-0.3839,0.3937,BUY NO,0.001,413059.64331,calibration_model
540818,New Playboi Carti Album before GTA VI?,2026-07-31 12:00:00+00:00,0.58,0.9499,0.3699,0.4403,BUY YES,0.02,28131.1885,calibration_model
540817,New Rihanna Album before GTA VI?,2026-07-31 12:00:00+00:00,0.61,0.968,0.358,0.4589,BUY YES,0.02,39760.5934,calibration_model
540843,Will China invades Taiwan before GTA VI?,2026-07-31 12:00:00+00:00,0.515,0.3459,-0.1691,0.1641,BUY NO,0.01,73963.8646,calibration_model
540820,Trump out as President before GTA VI?,2026-07-31 12:00:00+00:00,0.525,0.3695,-0.1555,0.1481,BUY NO,0.01,44747.3271,calibration_model
556108,Will MegaETH perform an airdrop by June 30? ,2026-02-01 05:00:00+00:00,0.5335,0.6883,0.1548,0.1659,BUY YES,0.009,12241.10498,calibration_model
563650,"SCOTUS accepts sports event contract case by July 31, 2026?     ",2026-07-31 00:00:00+00:00,0.125,0.0,-0.125,0.5,BUY NO,0.01,6999.5105,calibration_model
560317,"Putin out as President of Russia by December 31, 2026?",2026-12-31 18:30:00+00:00,0.105,0.0,-0.105,0.5,BUY NO,0.01,339730.0121,calibration_model
556062,MegaETH market cap (FDV) >$2B one day after launch?,2025-12-31 00:00:00+00:00,0.095,0.0,-0.095,0.5,BUY NO,0.01,103127.3225,calibration_model
559651,Xi Jinping out before 2027?,2026-12-31 00:00:00+00:00,0.0785,0.0,-0.0785,0.5,BUY NO,0.001,275117.89526,calibration_model
